Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate, Median , 25th percentile of earnings , 75th percentile of earnings 
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,47098,27275,22104,1577,6%," $74,000.00 "," $50,000.00 "," $107,000.00 "
2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,94697,73737,64157,4572,6%," $67,000.00 "," $46,900.00 "," $91,000.00 "
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,5%," $70,000.00 "," $48,000.00 "," $98,000.00 "
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,29348,24190,21273,1101,5%," $60,000.00 "," $40,000.00 "," $82,000.00 "
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,6%," $63,000.00 "," $42,000.00 "," $90,000.00 "
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,75791,45657,30428,4043,9%," $48,000.00 "," $30,000.00 "," $70,000.00 "
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,236342,153654,99459,9598,6%," $48,000.00 "," $33,500.00 "," $69,000.00 "
2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,57793,34696,23046,2707,8%," $45,000.00 "," $30,000.00 "," $75,000.00 "
2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,402038,241585,154167,14273,6%," $40,500.00 "," $30,000.00 "," $60,000.00 "
3201,COURT REPORTING,Law & Public Policy,9330,7270,6143,518,7%," $50,000.00 "," $34,000.00 "," $75,000.00 "
3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy,67037,49259,37254,3699,8%," $48,000.00 "," $34,000.00 "," $70,000.00 "
3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,1098647,708882,482229,52248,7%," $50,000.00 "," $32,900.00 "," $75,000.00 "
3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,59211,44913,29628,3569,8%," $40,000.00 "," $28,800.00 "," $65,000.00 "
3401,LIBERAL ARTS,Humanities & Liberal Arts,601221,404932,296792,29348,7%," $50,000.00 "," $33,000.00 "," $75,000.00 "
3402,HUMANITIES,Humanities & Liberal Arts,46188,29971,19460,2530,8%," $46,700.00 "," $30,000.00 "," $70,000.00 "
3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,10%," $40,000.00 "," $30,000.00 "," $55,000.00 "
3600,BIOLOGY,Biology & Life Science,839454,583079,422788,36757,6%," $51,000.00 "," $35,000.00 "," $80,000.00 "
3601,BIOCHEMICAL SCIENCES,Biology & Life Science,75322,52594,37103,4056,8%," $53,000.00 "," $33,000.00 "," $82,000.00 "
3602,BOTANY,Biology & Life Science,14135,9284,6333,327,4%," $50,000.00 "," $32,000.00 "," $75,000.00 "
3603,MOLECULAR BIOLOGY,Biology & Life Science,28197,20221,13366,1303,6%," $45,000.00 "," $30,000.00 "," $70,000.00 "
3604,ECOLOGY,Biology & Life Science,45368,36708,25677,1888,5%," $47,500.00 "," $32,000.00 "," $73,000.00 "
3605,GENETICS,Biology & Life Science,6362,4747,3498,206,4%," $48,000.00 "," $33,000.00 "," $80,000.00 "
3606,MICROBIOLOGY,Biology & Life Science,68885,45422,33990,2435,5%," $60,000.00 "," $40,000.00 "," $85,000.00 "
3607,PHARMACOLOGY,Biology & Life Science,5015,3481,2579,57,2%," $60,000.00 "," $35,000.00 "," $105,000.00 "
